Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
kari daging sapi,100 g,184,5.8,12.96,11.69
dendeng daging sapi,100 g,410,11,25.6,33.2
punggung sapi,100 g,342,0,26.15,24.84
paru sapi,100 g,92,0,2.5,16.2
usus sapi,100 g,130,1.5,7.2,14
daging sapi sirloin atas diiris hingga cm lemak kelas tinggi,100 g,214,0,14.28,19.92
bakso sapi,100 g,270.83,9.17,5,13.33
kornet daging punggung sapi diawetkan,100 g,198,0.14,14.9,14.68
abon sapi,100 g,480,52,20,16
sapi iris limau,100 g,400,11.25,32.5,16.25
enchilada dengan keju dan daging sapi,100 g,168,15.87,9.19,6.21
sapi panggang,100 g,533.33,53.33,30,6.67
daging sapi tbone steak bagian tanpa lemak diiris hingga cm lemak dimasak dipanggang,100 g,189,0,8.69,25.99
burger sapi,100 g,181.82,18.18,6.06,12.12
daging sapi top sirloin hanya bagian yang tanpa lemak diiris hingga cm lemak,100 g,127,0,3.54,22.27
rolade sapi,100 g,156.63,9.64,7.23,12.05
kaldu sapi,100 g,375,0,1.88,93.75
daging sapi muda,100 g,229,0,11.3,29.85
mie gelas rasa baso sapi,100 g,428.57,64.29,14.29,10.71
sosis sapi,100 g,133.33,3.33,3.33,23.33
daging sapi top sirloin diiris hingga cm lemak kualitas menengah,100 g,201,0,12.71,20.3
kornet daging sapi,100 g,160,8,9,12
hati sapi,100 g,165,0.15,4.73,28.48
daging sapi luncheon,100 g,200,10,12,10
sozzis sapi,100 g,180,18,7,10
daging sapi ekstra tanpa lemak,100 g,248,0,15.35,25.71
daging sapi panggang hanya bagian tanpa lemak yang dimakan,100 g,198,0,8.52,28.32
rasa baso sapi,100 g,467.53,63.64,19.48,9.09
daging sapi tbone steak diiris hingga cm lemak,100 g,212,0,14.31,19.39
daging sapi asap diawetkan,100 g,146,0,5.82,21.8
daging sapi top sirloin diiris hingga cm lemak,100 g,189,0,11.13,20.68
steak daging sapi hanya bagian yang tidak berlemak yang dimakan,100 g,187,0,6.63,29.81
daging sapi tenderloin diiris hingga cm lemak,100 g,247,0,18.16,19.61
daging sapi top loin diiris hingga cm lemak,100 g,228,0,15.49,20.61
limpa sapi,100 g,105,0,3,18.3
kailan sapi,100 g,104,5,6,8
lidah sapi,100 g,224,3.68,16.09,14.9
enchilada dengan daging sapi dan keju,100 g,202,15.78,11.37,10.02
enchilada dengan daging sapi,100 g,187,17.99,8.7,10.02
gelas baso sapi,100 g,14000,1800,600,200
semur daging,100 g,141,4.34,8,12.7
empal daging,100 g,212,7.47,10.29,22.31
oseng mercon daging,100 g,293.33,10.67,22.67,10.67
daging,100 g,287,0,19.29,26.41
daging lada hitam,100 g,269.23,38.46,11.54,7.69
potongan daging domba daging dan lemak dimakan,100 g,314,0,24.37,22.03
daging babi,100 g,271,0,17.04,27.34
daging domba panggang,100 g,266,0,18.15,23.93
soyburger tanpa daging,100 g,179,13.4,5.97,17.91
irisan daging babi biasa,100 g,163,3.83,8.6,16.6
bakso daging sapi,100 g,107.69,4.62,2.31,18.46
daging rusa besar,100 g,111,0,1.45,22.95
daging sapi cincang,100 g,167.86,25,5,6.07
potongan daging domba hanya daging yang dimakan,100 g,215,0,10.48,28.17
daging domba,100 g,292,0,20.77,24.32
steak daging babi atau potongan daging,100 g,248,0,14.25,28
daging analog cincang,100 g,375,37.5,0,52.5
irisan daging babi ekstra tanpa lemak,100 g,110,2.63,2.86,17.28
daging kambing goreng,100 g,153,0,4.52,26.46
potongan daging babi,100 g,250,0,14.57,27.91
bakso tanpa daging,100 g,197,8,9,21
daging babi pinggang bagian atas tanpa tulang,100 g,144,0,5.89,21.35
daging menjanganrusa rebus,100 g,190,0,3.93,36.08
daging isi tortelini,100 g,193,17.36,7.65,12.64
salad pasta atau makaroni dengan daging,100 g,172,17.94,8.15,6.66
daging analog irisan,100 g,350,30,2.5,52.5
daging menjanganrusa yang diawetkan,100 g,187,0,4.08,35.11
potongan daging babi panggang,100 g,240,0,13.8,27.09
daging menjanganrusa,100 g,190,0,3.93,36.08
daging sapi top sirloin hanya bagian yang tanpa lemak diiris hingga cm lemak kualitas tinggi,100 g,131,0,4.08,22.09
daging punggung sapi hanya bagian tanpa lemak yang dimakan,100 g,230,0,11.53,29.63
calzone dengan daging dan keju,100 g,348,30.9,18.12,14.62
ikan,100 g,84,0,0.92,17.76
ikan tongkol goreng,100 g,200,2.38,11.41,20.95
ikan kembung,100 g,167,0,9.36,19.32
ikan mujair goreng,100 g,169,2.22,6.92,24.55
ikan kembung balado,100 g,163,2,7.37,21.13
ikan panggang,100 g,126,0.33,3.44,21.94
ikan layang,100 g,112,0,1.75,22.72
gulai ikan,100 g,100,1.9,4.59,12.4
ikan tongkol,100 g,110,0,0.92,23.87
nila ikan dimasak panas kering,100 g,128,0,2.65,26.15
ikan tongkol asampadeh,100 g,119,6.1,3.5,15.7
ikan bandeng goreng,100 g,233,2.38,16.4,18.08
ikan cakalang,100 g,132,0,1.29,28.21
kakap ikan spesies campuran,100 g,100,0,1.34,20.51
ikan tuna,100 g,108,0,0.95,23.38
nila ikan,100 g,96,0,1.7,20.08
ikan bawal,100 g,84,0,1.22,17.21
ikan mujair,100 g,88,0,1.34,18.66
ikan pindang,100 g,157,0,2.8,28
ikan kuah kuning,100 g,116,3.15,2.63,19.16
ikan patin,100 g,89,0,2.96,14.91
ikan kerapu,100 g,92,0,1.02,19.38
ikan salem,100 g,158,0,7.89,20.07
ikan asin,100 g,195,0,1.59,42.16
ikan mas,100 g,87,0,2.08,16.01
ikan gurame asam manis,100 g,194,12.44,10.16,12.54
ikan tenggiri,100 g,121,0,3.3,21.4
ikan putih,100 g,172,0,7.51,24.47
ikan todak,100 g,121,0,4.01,19.8
lele goreng,100 g,105,0,2.85,18.47
ikan wader,100 g,84,0,2.27,14.88
ikan belanak,100 g,117,0,3.79,19.35
ikan bawal goreng,100 g,113,0,2.69,20.78
tuna bumbu kari,100 g,90,3,2.5,13
ikan kembung goreng,100 g,167,0,9.36,19.32
sardines dalam saus extra pedas,100 g,100,6,2,18
ikan bandeng,100 g,148,0,6.73,20.53
ikan selar,100 g,100,0,2.21,18.76
ikan lemuru,100 g,112,0,2.98,20
ikan kuwe,100 g,74,0,2.42,12.2
pepes tongkol,100 g,105,7.1,1.27,15.93
olahan ikan,100 g,150,27,3.5,3
makarel,100 g,128.57,4.29,2.14,22.86
fish snack,100 g,350,60,0,25
fish nugget,100 g,170,32,1.5,8
ikan shisamo,100 g,165,0,8.37,21.14
pepes ikan mas,100 g,98,0.16,4.63,13.21
ikan tuna bumbu pepes,100 g,110,6,4.5,12
nila bakar,100 g,130,0.6,3.05,25.38
sardines in tomato sauce,100 g,171.43,1.43,11.43,15.71
tuna sirip biru ikan,100 g,144,0,4.9,23.33
ikan baung,100 g,144,5.2,5.8,17.8
tuna sirip kuning ikan,100 g,108,0,0.95,23.38
ikan todak masak,100 g,177,0.49,8.23,23.8
dimasak hiduphidup,100 g,133,0.41,4.24,22
salmon kalengan,100 g,144,0,6.28,20.57
tuna chunk in vegetable oil,100 g,130,1,4,22
fish shumai,100 g,195.12,18.29,8.54,10.98
ikan pecak atlantik dan pacifik,100 g,110,0,2.29,20.81
keecho,100 g,200,12,10,16
fish dumpling cheese,100 g,125,10,5,10
sarden dengan saus tomat campuran,100 g,186,0.74,10.46,20.86
salmon asap,100 g,117,0,4.32,18.28
siomay ikan,100 g,160,18,5,5
ikan baronang,100 g,78,0,0.64,16.96
ikan kembung atlantik,100 g,205,0,13.89,18.6
chikuwa,100 g,125,25,0,8.33
crab flavored stick,100 g,133.33,20,0,6.67
crab stick,100 g,93.75,18.75,0,6.25
ikan senangin,100 g,88,0,2.11,16.22
katsuobushi,100 g,340,2.34,2.26,76.8
ikan gindara,100 g,126,0,6.91,14.9
ikan kembung kukus,100 g,201,2.31,12,20.21
ikan kod panggang,100 g,122,0.41,3.59,20.91
ikan salmon,100 g,146,0,5.93,21.62
fish bites,100 g,260.42,21.88,13.54,11.46
steamboat,100 g,150,20,5,10
chinese blackpepper fish with cu chao mian fuyunghai,100 g,946,98,26,80
bakso ikan,100 g,107,11.72,1.23,11.27
gurame,100 g,125,0,5.49,17.48
sarden saus sambal,100 g,183.33,8.33,11.67,11.67
ikan salmon atlantik ditambak,100 g,183,0,10.85,19.9
ikan kod atlantik,100 g,82,0,0.67,17.81
ikan kod pacifik,100 g,82,0,0.63,17.9
ikan dori,100 g,84,0,4.11,11.02
terasi,100 g,155,9.9,2.9,22.3
udang,100 g,144,1.24,2.35,27.59
udang goreng,100 g,287,27.57,14.64,10.58
udang asam manis,100 g,269,25.12,16.84,6.56
udang kukus atau rebus,100 g,138,1.19,2.26,26.5
udang goreng tepung,100 g,245,11.77,12.26,20.7
sambal udang,100 g,137,24.59,2.47,4.78
udang panggang,100 g,154,1.17,5.03,24.47
udang goreng mentega,100 g,202,12,7,19
udang kupas,100 g,62.5,0,0.89,11.61
udang rebon,100 g,284,3.33,3.75,59.15
udang crispy,100 g,466.67,26.67,30,26.67
udang karang rebus atau kukus,100 g,81,0,1.19,16.63
udang karang udang,100 g,72,0,0.97,14.85
kroket udang,100 g,150,26.67,1.67,6.67
salted egg prawn roll,100 g,535.71,57.14,28.57,14.29
seafood platter,100 g,180,28,5,8
ebi fry,100 g,150,20,1.25,10
udang keju,100 g,370,27,26,6
udang lapis tepung ebi furai,100 g,150,23,2,10
lumpia udang,100 g,259.15,5.21,20.7,10.7
ayam udang kribo,100 g,222.22,16.67,10,16.67
siomay udang,100 g,185.19,18.52,6.48,12.96
terasi udang matang,100 g,250,25,2.5,40
ebi furai,100 g,181.82,29.55,1.14,11.36
naget udang ebi katsu,100 g,170,26,4,8
prawn crackers,100 g,433.33,76.67,11.67,6.67
shrimp creamy tom yum flavour,100 g,67.22,2.22,0.67,0.28
kaldu udang,100 g,430.77,60,15.38,9.23
sponge crunch cheddar cheese,100 g,583.33,58.33,37.5,8.33
spicy cheese dumpling,100 g,200,14.44,11.11,11.11
shumai,100 g,175,27.5,5,7.5
shrimp shumai,100 g,158.54,19.51,4.27,9.76
sambal uleg udang,100 g,437.5,12.5,37.5,12.5
udang popcorn lapis tepung,100 g,150,23,2,11
kerupuk udang rasa kari,100 g,466.67,66.67,20,0
shrimp roll,100 g,222.22,20,11.11,8.89
petis,100 g,127,1.94,2.3,23.78
shrimp wonton soup,100 g,261.9,42.86,5.95,8.33
shrimp crackers,100 g,500,64.29,25,7.14
bola udang,100 g,160,17,6,9
terasi udang,100 g,125,0,0,25
petis udang,100 g,350,60,2.5,25
shrimp hakau,100 g,162.16,22.97,4.05,6.76
pangsit udang,100 g,226.19,36.9,5.36,8.33
golden money bag,100 g,145.83,25,0,8.33
kekian,100 g,750,100,0,75
siomay,100 g,206.06,10.91,13.03,10.91
kerupuk udang nusantara,100 g,350,75,0,10
sambal ijo,100 g,409.09,9.09,36.36,9.09
bakso udang,100 g,120,18,2,7
mini wonton,100 g,320,34,14,10
kerupuk udang,100 g,120,80,0,10
udang scampi,100 g,212,0.01,15.83,16.87
quick bites odeng kue ikan,100 g,216.67,23.33,8.33,10
cumicumi,100 g,92,3.08,1.38,15.58
cumi saus padang,100 g,160,7.12,8.02,14.67
cumi asin,100 g,173,2.52,8.19,20.92
cumi goreng,100 g,125,9.9,2.17,15.13
cumi kukus atau rebus,100 g,91,3.05,1.37,15.45
cumi sambalado,100 g,199.5,3,11.5,16
squid ball bakso cumi,100 g,100,12,0,12
imitation squid flower,100 g,133.33,10,5.56,10
moricle moringa latte,100 g,400,56,12,20
kerang hijau,100 g,171,6.15,5.02,23.71
kerang,100 g,217,10.49,10.96,18.14
kerang kukus atau rebus,100 g,106,2.33,3.09,16.18
sate kerang,100 g,155,10.8,3.69,19.58
kerang spesies campuran,100 g,88,2.36,0.76,16.78
kerang panggang,100 g,132,2.92,3.86,20.22
pancake campuran kering,100 g,194,36.7,2.5,5.2
tapioka mutiara kering,100 g,358,88.69,0.02,0.19
kelapa kering,100 g,660,23.65,64.53,6.88
spaghetti kering,100 g,371,74.67,1.51,13.04
saus kari kering dikeringkan,100 g,427,50.62,23.1,9.38
jamur kering padat kaleng,100 g,25,5.09,0.29,1.87
biji wijen kering utuh,100 g,573,23.45,49.67,17.73
roti isi campu kering,100 g,386,76.2,3.4,11
salami babi kering atau keras,100 g,407,1.6,33.72,22.58
kacang sangrai kering dengan garam,100 g,585,21.51,49.66,23.68
roti isi campur kering komersial,100 g,178,21.7,8.6,3.2
cranberry kering dimaniskan,100 g,308,82.36,1.37,0.07
kacang pinus kering,100 g,673,13.08,68.37,13.69
biji bunga matahari kering tanpa garam,100 g,582,24.07,49.8,19.33
kacang kemiri sangrai kering dengan tambahan garam,100 g,710,13.55,74.27,9.5
biskuit tawar atau mentega campuran kering siap,100 g,335,48.4,12.1,7.3
biji bunga matahari kering,100 g,570,18.76,49.57,22.78
pasta gandum utuh kering,100 g,348,75.03,1.4,14.63
halibut ikan atlantik dan pasifik dimasak panas kering,100 g,140,0,2.94,26.69
kacang hijau kering padat kaleng,100 g,69,12.58,0.35,4.42
kacang sangrai kering tanpa garam,100 g,585,21.51,49.66,23.68
kacang campuran sangrai kering dengan kacang tanah dengan tambahan garam,100 g,594,25.35,51.45,17.3
almond sangrai kering dengan tambahan garam,100 g,597,19.29,52.83,22.09
roti jagung muffin jagung campuran kering,100 g,418,69.5,12.2,7
kacang almond panggang kering tanpa tambahan garam,100 g,597,19.29,52.83,22.09
kacang kemiri kering sangrai tanpa tambahan gula,100 g,710,13.55,74.27,9.5
kacang macadamia sangrai kering dengan tambahan garam,100 g,716,12.83,76.08,7.79
muesli kering buahbuahan dan kacangkacangan,100 g,340,77.8,4.9,9.7
biji bunga matahari sangrai keringdengan tambahan garam,100 g,582,24.07,49.8,19.33
ikan tuna ringan kering padat dalam air kalengan,100 g,116,0,0.82,25.51
ikan putih tuna kering padat dalam air kalengan,100 g,128,0,2.97,23.62
aprikot kering,100 g,241,62.64,0.51,3.39
jamur merang,100 g,28,4.86,0.4,2.79
air keran,100 g,0,0,0,0
rumput laut kering,100 g,298,52.39,4.01,31.84
apel kering,100 g,243,65.89,0.32,0.93
cranberry kering,100 g,308,82.36,1.37,0.07
prune kering,100 g,240,63.88,0.38,2.18
kering tempe,100 g,259,26.94,12.93,13.6
kering kentang,100 g,317,33.54,16.54,10.46
kacang asin sangrai kering,100 g,585,21.51,49.66,23.68
buncis kering dimasak,100 g,236,27.55,10.7,8.77
campuran buah kering,100 g,244,64.81,0.44,2.19
kacang mete sangrai kering,100 g,574,32.69,46.35,15.31
kacang campuran sangrai kering,100 g,594,25.35,51.45,17.3
kacang tawar sangrai kering,100 g,585,21.51,49.66,23.68
biji bunga matahari yang dikuliti sangrai kering,100 g,582,24.07,49.8,19.33
makaroni atau mie dengan keju campuran kering,100 g,219,25.74,10.06,6.25
kentang tumbuk dari kentang kering,100 g,105,12.22,5.56,2.02
biskuit kering,100 g,500,66.67,23.33,6.67
soes kering,100 g,500,62.5,25,12.5
kuetiaw kering,100 g,360,82,0,7
roti kering,100 g,388.89,77.78,0,11.11
soes kering cheese,100 g,625,37.5,43.75,12.5
mie kering gandum,100 g,375,77.21,1.47,11.76
buah plum kering,100 g,300,66.67,0,0
mie kering shirataki,100 g,120,28,0,2
soes kering original,100 g,571.43,42.86,35.71,14.29
mie kering pipih,100 g,378.57,77.14,1.79,12.14
kembang tahu kering,100 g,380,23.3,13.8,49
sambal rebon kering,100 g,333.33,33.33,16.67,33.33
mayonais kurang lemak,100 g,360,28,24,0
ikan teri kering,100 g,170,0,3,33.4
broker brownies kering,100 g,540,58,30,8
