Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g)
bakso polos,100 g,138.46,4.62,4.62,20
bakso sapi kasarurat,100 g,160,12,9,10
bakso ayam,100 g,160,12,8,9
bakso sapi ayam,100 g,121.21,6.06,3.03,21.21
bakso,100 g,325,9.2,2.5,4.1
baso ikan,100 g,100,15,0,10
swedish meatballs,100 g,240.51,5.06,17.72,13.92
bakso gochujang,100 g,127.27,7.27,4.55,16.36
bakso keju,100 g,183.33,6.67,6.67,21.67
bakso hot,100 g,163.64,10.91,7.27,14.55
rasa bakso sapi,100 g,360,80,4,4
bakso daging ayam keju ready to go,100 g,116.67,6.67,5.83,11.67
probites bakso sweet spicy,100 g,116.67,8.33,3.33,11.67
fish roll,100 g,160,22,3,10
bakso daging ayam,100 g,270,21,17,8
fish scallop,100 g,208.33,33.33,8.33,8.33
fish ball,100 g,125,15,5,5
bakso ikan besar,100 g,125,15,5,10
chikuwa mini,100 g,150,20,2.5,15
bakso original,100 g,145.83,8.33,9.38,16.67
scallop,100 g,100,16,1,10
bakso daging ayam saus barbekiu,100 g,140,10,6,14
bakso serba guna,100 g,107.69,4.62,2.31,18.46
bakso ikan dan udang,100 g,166.67,16.67,12.5,8.33
baso ikan dan udang,100 g,166.67,16.67,12.5,8.33
bola lobster,100 g,170,18,7,8
bakso bayam,100 g,219,29,8,11
bakso ikan pedas,100 g,177.78,13.33,10,8.89
bakso cumi,100 g,175,20,7.5,10
tofu fish cake,100 g,225,15,17.5,10
bakso ayam keju,100 g,191.67,11.67,9.17,14.17
bakso ikan kuah,100 g,108.33,17.5,0,10.83
bakso sosis,100 g,160,9,8,13
bumbu kuah bakso,100 g,200,20,10,6.67
yong tofu,100 g,150,10,9,8
bakso sb premium,100 g,138.46,3.08,5.38,21.54
chicken ball,100 g,160,12,8,9
bola kepiting,100 g,170,19,7,8
cuanki,100 g,520,52,32,4
tepung bakso goreng,100 g,257.14,60,0,2.86
baso spesial,100 g,467.53,54.55,22.08,11.69
baso aci geprek,100 g,368,50.16,14.97,8.12
bakso daging sapi dan ayam kombinasi,100 g,160,14,7,10
bubur sumsum,100 g,174,33.79,3.57,1.97
bubur candil,100 g,84,18.53,1.05,0.46
bubur ketan hitam,100 g,241,45.37,5.39,2.97
bubur instan rasa ayam,100 g,377.78,71.11,6.67,6.67
bubur spesial kombinasi,100 g,39.97,6,1,2
bubur ayam,100 g,69.18,10.68,1.76,2.15
bubur sereal multigrain,100 g,406.25,84.38,3.12,9.38
susu bubuk full cream,100 g,320,40,28,20
coklat bubuk,100 g,400,50,13.33,20
susu bubuk cokelat,100 g,16000,2500,500,500
kakao bubuk,100 g,400,53.33,10,23.33
bubur tim salmon norwegia,100 g,400,80,6,12
bubur bayi pisang susu,100 g,400,70,7.5,15
sun bubur beras merah,100 g,400,80,5,10
lada putih bubuk,100 g,333.33,66.67,0,0
bubur shirataki keju,100 g,60,8,3,0
mpasi bubur bayi,100 g,400,70,5,15
cabe bubuk,100 g,500,66.67,0,0
bubur bayi,100 g,425,72.5,10,12.5
super bubur dengan kuah kari,100 g,413.04,78.26,7.61,6.52
bubuk protein,100 g,401,49,9,31
bubur shirataki rasa ayam jamur,100 g,60,8,2,2
bubur aneka kacang,100 g,120,21.5,2.25,3.5
susu skim bubuk,100 g,366.67,56.67,0,30
kopi bubuk,100 g,500,100,0,0
bubuk kedelai murni,100 g,400,46,7,28
kakao bubuk tanpa gula,100 g,229,54.3,13.7,19.6
matcha bubuk,100 g,400,93.33,0,6.67
super bubur,100 g,422.22,71.11,6.67,6.67
susu bubuk,100 g,425,67.5,8.75,17.5
super bubur rasa ayam,100 g,377.78,71.11,6.67,6.67
susu bubuk kompleta,100 g,371.43,65.71,4.29,14.29
kacang kedelai bubuk,100 g,450,30,22.5,40
super bubur rasa abon sapi,100 g,387.76,69.39,9.18,6.12
uburubur dikeringkan asin,100 g,36,0,1.4,5.5
susu bubuk coklat,100 g,450,67.5,12.5,12.5
terasi bubuk,100 g,250,0,0,25
buryam,100 g,363.64,81.82,0,9.09
santan bubuk,100 g,500,60,30,0
selai kacang bubuk,100 g,384.62,61.54,7.69,30.77
selai chocolate bubuk,100 g,384.62,61.54,7.69,30.77
bubur dengan kuah kari,100 g,413.04,78.26,7.61,6.52
bubur tim daging dan brokoli,100 g,400,80,6,12
minuman rasa limun dengan gula dibuat dengan bubuk campuran,100 g,9200,2252,0,0
susu bubuk full cream plain,100 g,13000,1100,700,600
bubur instan,100 g,375,71.88,6.25,7.81
susu bubuk kompleta rasa vanila,100 g,400,63.33,8.33,13.33
susu bubuk skim,100 g,400,60,0,33.33
susu bubuk purefarm full cream,100 g,480,40,28,24
agaragar bubuk hallow,100 g,357.14,85.71,0,0
daun kelor bubuk,100 g,333.33,53.33,6.67,20
organik susu kacang bubuk,100 g,450,30,17.5,0
organic coklat belgia bubuk,100 g,512.5,51.25,32.5,8.75
jahe merah ekstrak bubuk,100 g,450,80,10,10
susu bubuk instan rasa cokelat,100 g,447.37,65.79,15.79,13.16
sosis bakar,100 g,160,2,10,14
ikan kembung bakar,100 g,169,3.2,8.01,20.46
bumbu bakar pedas,100 g,300,70,0,0
terong bakar,100 g,20,4.67,0.16,0.83
ikan patin bakar,100 g,144,2.22,6.61,17.78
rasa jagung bakar,100 g,500,60,30,10
akar teratai,100 g,74,17.23,0.1,2.6
bumbu rasa jagung bakar,100 g,250,100,0,0
kris bee krunchy rasa jagung bakar mentega,100 g,450,80,10,10
bumbu kentang goreng rasa jagung bakar,100 g,375,75,0,0
sosis lauk rasa ayam bakar,100 g,140,12,3,16
rumput laut panggang rasa jagung bakar,100 g,500,20,40,20
ikan bawal bakar,100 g,144,0,5.04,23
ubi bakar cilembu,100 g,86,20.12,0.05,1.57
ayam bakar bumbu rujak,100 g,250,33.33,8.33,8.33
sukro oven jagung bakar,100 ml,520,52,28,16
roti gandum,100 g,277.78,45.56,6.67,8.89
sosis bakar mini,100 g,250,15,17,10
jagung bakar g,100 g,333.33,40,20,6.67
roti jagung,100 g,309.09,54.55,10.91,7.27
roti bakar,100 g,307,53.71,5.62,12.84
jagung bakar pedas,100 g,416.67,50,25,8.33
roti sandwich tanpa kulit gandum,100 g,277.78,45.56,6.67,8.89
sosis bakar jumbo,100 g,250,13,18,10
momogi jagung bakar,100 g,500,60,30,10
twistko rasa jagung bakar,100 g,500,70,25,10
nasi bakar,100 g,166.67,25.15,4.55,6.67
snack nugget rasa jagung bakar pedas,100 g,500,70,20,10
tortilla chips rasa jagung bakar,100 g,500,64.29,21.43,10.71
sosis rasa ayam bakar,100 g,170,18,6,10
pocket sandwich chocolate,100 g,320,44,12,8
milk bread,100 g,300,52.5,5,10
keripik singkong rasa keju bakar,100 g,400,56,20,0
potato bun with custard filling,100 g,314.29,50,10,7.14
nasi bakar ayam,100 g,166.67,25.15,4.55,6.67
popcorn keju bakar,100 g,433.33,76.67,13.33,3.33
potato bun with chocolate filling,100 g,328.57,48.57,10,7.14
yoritos rasa jagung bakar,100 g,500,70,25,10
roti kok,100 g,437,74.8,10,11.1
pocket sandwich peanut,100 g,360,42,16,10
mie goreng ayam bakar limau,100 g,449.44,68.54,15.73,8.99
strawberry roll,100 g,327.27,52.73,10.91,7.27
red bean bun,100 g,327.27,52.73,9.09,7.27
nasi bakar ikan cakalang,100 g,196.23,31.7,4.53,7.17
kaya bun,100 g,311.11,57.78,8.89,6.67
roti balok rasa cokelat,100 g,360,50,14,8
iga bakar,100 g,254,0.94,19,19.1
roti susu,100 g,300,52.5,5,10
corntoz rasa jagung bakar,100 g,1200,140,70,10
ayam bakar limau,100 g,449.44,68.54,15.73,8.99
sapi bumbu bakar,100 ml,500,55,30,10
chocolate bun,100 g,311.11,51.11,10,6.67
potabee ayam bakar,100 g,533.33,50,33.33,6.67
rasa sosis bakar,100 g,444.44,77.78,8.33,5.56
chimi keripik ubi jagung bakar,100 g,560,56,32,4
roti bakar rasa coklat,100 g,381.82,52.73,16.36,7.27
snack bakso rasa udang bakar,100 g,533.33,73.33,23.33,0
kentang rebus,100 g,87,20.13,0.1,1.87
singkong rebus,100 g,146,34.76,0.26,1.24
pop mie rasa ayam,100 g,426.67,61.33,14.67,12
daun ubi tumbuk,100 g,102,6.56,8.01,3.49
rawon pedas mercon,100 g,466.67,61.33,20,10.67
sarimi isi ayam bawang,100 g,443.48,60.87,17.39,11.3
ramen kuah shoyu rasa ayam,100 g,439.02,67.07,17.07,7.32
rawit bingit ayam jerit,100 g,454.55,55.84,19.48,12.99
lodeh terong,100 g,106,6.36,8.39,3.03
tongseng,100 g,169,6.43,11.83,10.81
mi goreng rendang,100 g,483.52,62.64,21.98,8.79
shabu shabu combo,100 g,240,22,14,8
mie rebus rasa soto ayam,100 g,485.71,60,24.29,8.57
jagung rebus,100 g,93,22.33,0.74,3.11
mi rebus kari ayam,100 g,66.67,14.67,0.67,0
tumis buncis,100 g,65,8.15,3.45,1.97
tumis kacang panjang dan tempe,100 g,140,9.65,8.54,8.97
tumis tauge,100 g,57,9.45,1.18,4.58
tumis labu siam,100 g,46,7.34,1.72,1.42
tumis pakcoy,100 g,30,5.57,0.52,1.85
tumis kol,100 g,45,6.15,2.23,1.39
tumis pakis,100 g,75,7.01,4.54,3.55
tumis pepaya muda,100 g,52,8.97,1.93,0.73
tumis genjer,100 g,35,7.39,0.27,1.99
tumis daun pepaya,100 g,95,12.01,2,8.05
tumis daun singkong,100 g,85,7.52,5.22,3.59
bumbu racik tumis,100 g,300,60,0,20
tumis oncom,100 g,105,12.62,4.04,5.84
tumis pare,100 g,46,5.74,2.45,1.25
kentang panggang kulit tidak dimakan,100 g,92,21.39,0.1,1.95
kacang panggang vegetarian,100 g,94,21.14,0.37,4.75
ikan tuna panggang,100 g,153,0.41,3.96,27.3
ikan trout panggang,100 g,188,0.41,9.16,24.37
bolu panggang,100 g,444.44,51.11,24.44,4.44
muffin inggris panggang,100 g,270,52.65,2.02,10.32
jamur portabella panggang,100 g,35,5.08,0.75,4.09
iga babi panggang dengan saus,100 g,310,4.2,22.33,21.44
kentang panggang lemak tidak ditambahkan dalam masakan,100 g,95,21.52,0.11,2.49
rasa ayam panggang,100 g,600,60,35,10
daging babi panggang,100 g,247,0,14.59,26.98
proffle sapi panggang,100 g,400,55,10,25
rumput laut kering panggang nori pedas,100 g,500,40,30,20
rosta kacang panggang rasa pedas,100 g,545.45,54.55,22.73,18.18
corntoz sapi panggang,100 g,500,60,25,10
roti panggang,100 g,368.42,52.63,15.79,7.89
rumput laut panggang,100 g,500,33.33,50,33.33
rumput laut kering panggang nori korean bbq,100 g,500,20,40,20
rumput laut kering panggang nori rasa telur asin,100 g,500,20,40,20
kentang panggang kulit dimakan,100 g,109,20.53,2.2,2.43
kentang panggang,100 g,149,20.06,7,2.32
roti asam adonan panggang,100 g,298,56.4,3.3,9.6
makaroni panggang,100 g,489,66,22,7
garuda rosta kacang panggang rasa bawang,100 g,545.45,54.55,27.27,18.18
babi panggang hanya daging yang dimakan,100 g,208,0,9.57,28.45
kacang almond panggang,100 g,600,16.67,56.67,20
pilus keju panggang,100 g,500,65,25,5
ikan lele panggang,100 g,184,0.41,11.71,18.16
kepiting panggang,100 g,136,0.11,6.24,18.91
pilus sapi panggang,100 g,500,71.43,28.57,0
bagel panggang,100 g,288,57.11,1.72,11.14
kacang asin panggang,100 g,629.63,18.52,51.85,29.63
ikan salmon panggang,100 g,171,0.49,7.56,23.97
daging menjanganrusa panggang,100 g,190,0,3.93,36.08
japota sapi panggang,100 g,571.43,50,35.71,7.14
malkist keju panggang,100 g,500,65,20,10
piattos sapi panggang,100 g,533.33,66.67,26.67,6.67
kacang pistachio panggang,100 g,640,20,52,24
rasa sapi panggang,100 g,550,65,30,5
rumput laut panggang nori,100 g,600,20,50,20
ayam panggang bawang,100 g,136.92,5.77,4.08,19.23
chitato sapi panggang,100 g,550,55,30,10
kuah gulai,100 g,135,6.74,12.43,1.78
cap cay kuah,100 g,67,9.67,2.59,1.58
kwetiau kuah rasa ayam bawang,100 g,373.13,67.16,6.72,13.43
mi instan kuah rasa ayam bawang,100 g,386.67,62.67,8,16
kuah rasa ramen jepang,100 g,366.67,70,5,10
mie instan kuah rasa ayam bawang,100 g,383.33,65,8.33,11.67
muffin buah danatau kacangkacangan,100 g,277,48,6.5,5.5
mie kuah jalapeno,100 g,440,57.33,17.33,12
mie kuah rasa ayam cabe,100 g,462.5,61.25,20,8.75
buah lontar,100 g,27,6.75,0.18,0.34
batagor kuah,100 g,469,52.4,19.3,21.3
mi kuah rasa cakalang,100 g,440,65.33,14.67,10.67
smoothie buah dibuat dengan buah atau jus buah saja,100 g,13000,3352,29,88
kuah pedes dower,100 g,480,61.33,21.33,8
buah persik,100 g,39,9.54,0.25,0.91
koktail buah tanpa pemanis dalam kemasan air dimasak atau kalengan,100 g,7800,2085,12,103
keju cottage dengan buah,100 g,21900,1042,870,2416
es buah,100 g,24700,6292,0,77
bihun kuah,100 g,372.55,70.59,6.86,7.84
minuman smoothie buah dengan jus buah dan produk susu,100 g,19800,4115,323,341
super bihun kuah,100 g,372.55,70.59,4.9,7.84
punch buah dibuat dengan jus buah dan soda,100 g,10800,2651,15,44
minum smoothie buah,100 g,16200,3668,176,214
minuman buah beralkohol,100 g,7400,785,3,14
koktail buah atau campuran,100 g,9300,2424,30,102
minuman buah berkonsentrasi beku dengan air,100 g,11400,2880,0,15
mi instan kuah rasa kari ayam,100 g,400,70,7.5,10
buah delima,100 g,68,17.17,0.3,0.95
mie kuah pedas gurih,100 g,400,72.31,7.69,10.77
mie oven mie kuah rasa iga sapi,100 g,600,58,14,12
super bihun kuah baso sapi,100 g,352.94,68.63,4.9,9.8
mi instan konnyaku kuah rasa ayam bawang,100 g,42.25,9.86,0,0
corn bihun kuah rasa ayam bawang,100 g,393.44,81.97,6.56,1.64
buah kecapi,100 g,82,20.11,0.56,0.4
pie buah,100 g,316,42.6,16.1,3
buah kenitu,100 g,67,16.78,0.21,1.43
jus buah naga,100 g,13600,3595,17,92
yum yum mi instan rasa tom yum udang kuah creamy,100 g,485.71,67.14,21.43,7.14
buah kundur,100 g,16,3.67,0.2,0.46
instant kua chap,100 g,360,72,4,4
kua chap thai tom yum,100 g,340,80,0,6
kentang goreng seperti waktu beli ditambahi garam beku,100 g,174,29.92,5.05,2.12
kaki ayam goreng tanpa pelapis kulit dimakan,100 g,250,0,14.78,27.31
mie goreng wortel bit,100 g,149.25,25.37,2.99,4.48
mie goreng rendang jumbo,100 g,460.87,59.13,20,10.43
mi goreng chitato,100 g,500,61,24,9
mie goreng pedas korea,100 g,367.65,69.12,6.62,8.82
makaroni krispi level,100 g,450,60,20,10
mi goreng jumbo,100 g,418.6,57.36,17.83,8.53
isi mi goreng rasa ayam kecap,100 g,444.44,61.11,19.05,7.94
mie goreng black pepper seafood,100 g,500,62.5,23.75,8.75
mi goreng cakalang,100 g,439.02,67.07,14.63,9.76
ayam goreng kalasan paha,100 g,275,1.3,12.2,37.4
mie goreng original,100 g,494.12,61.18,23.53,8.24
korean spicy cheese,100 g,506.85,60.27,26.03,8.22
belut goreng,100 g,221,8.62,11.36,20.09
terong goreng,100 g,148,11.58,10.75,2.4
kentang mustofa,100 g,317,39.33,17.76,4.01
mie goreng rasa ayam kecap,100 g,460.32,62.7,19.05,9.52
paru sapi goreng,100 g,484,0.62,36.5,39.61
ampela goreng,100 g,262,9.45,11.15,32.05
minyak goreng sawit,100 ml,800,0,90,0
super bihun goreng,100 g,369.23,66.15,9.23,7.69
intip goreng,100 g,474,67.06,20.29,5.36
minyak goreng x penyaringan,100 ml,777.78,0,88.89,0
mi goreng sambal belacan,100 g,493.33,61.33,24,8
mie goreng rasa ayam panggang kecap,100 g,466.67,63.33,20,8.89
mie goreng korea konnyaku,100 g,192.31,37.18,5.13,1.28
ikan lidah goreng,100 g,104,2.43,3.03,15.75
mie goreng rasa sapi,100 g,169.01,40.85,0,1.41
classic,100 g,250,50,0,0
cappuccino,100 g,440,84,10,4
kopi,100 ml,72.73,13.18,1.82,1.36
caramel macchiato grande,100 g,52.85,7.4,1.48,2.11
salted caramel macchiato,100 g,65,9.5,2.25,1.5
coffeemix in,100 g,450,85,10,5
special mix,100 g,400,92,4,4
americano zero sugar,100 g,250,0,0,0
gula aren,100 g,454.55,81.82,11.36,4.55
caffe latte grande,100 ml,40.17,3.81,1.48,2.54
butterscotch latte,100 g,35000,4500,1400,1200
kopi susu,100 g,419.35,87.1,8.06,3.23
caramel frappe,100 ml,70.83,11.67,2.08,1.25
vanilla latte tall,100 g,56.34,7.89,1.41,2.54
kopi susu tetangga,100 ml,105,12.5,5.5,2
chococinno,100 g,9000,1700,200,100
hanya untukmu black aren,100 ml,63.64,12.73,1.14,1.36
white koffie original,100 g,450,85,10,5
top coffee gula aren,100 g,454.55,81.82,11.36,4.55
iced caffe latte grande,100 ml,26,2.6,0.9,1.6
white coffee less sugar,100 g,457.14,70.29,21.43,2.86
lokalate kopi gula aren,100 g,466.67,73.33,16.67,6.67
kopi lokal,100 ml,70.4,13,0.8,2.76
doubleshot espresso cream,100 ml,72.92,9.38,3.12,2.08
kopi plus gula,100 g,388.89,94.44,0,5.56
latte kaleng,100 ml,50,8.64,1.36,0.91
cool coconut,100 ml,50,9.5,1.25,0.5
choco banana latte,100 ml,59.09,9.09,1.59,1.82
moccachino,100 g,450,80,12.5,5
soy latte,100 g,466.67,73.33,20,6.67
top avocado coffe,100 g,454.55,77.27,15.91,4.55
rock salt caramello,100 g,500,70,22.5,5
white coffee,100 ml,45,9,1.25,0.5
kopi susu keluarga,100 ml,60,10,2,1
kopi fine blend,100 g,250,50,0,0
gilus mix aroma vanila,100 g,391.3,91.3,2.17,4.35
kopi jahe,100 g,423.08,65.38,7.69,0
cafe latte,100 ml,68,9.2,2.8,1.6
kopi elemen,100 g,452.17,78.26,13.04,4.35
gilus mix gula aren,100 g,391.3,91.3,0,4.35
pumpkin spice latte tall,100 ml,92.31,12.31,3.38,3.38
thai milk coffee,100 ml,63.64,10.91,1.59,1.36
white coffee hazelnut,100 g,440,64,16.57,3.71
the original,100 g,450,85,10,5
cold brew coffe brown sugar,100 ml,62,11.2,1.6,0.8
cold brew grande,100 ml,1.06,0,0,0
black coffee,100 ml,27.78,7.22,0,0
indo creamer,100 g,500,66.67,33.33,0
caramel latte,100 g,473.68,73.68,21.05,5.26
in diet,100 g,3900,478,194,53
starbucks via ready brew sweetened iced coffee,100 g,357.14,78.57,0,7.14
lucky day,100 ml,72.22,9.44,3.33,1.67
fresco cappuccino,100 g,11000,2200,200,100
coffe candy,100 g,333.33,66.67,0,0
green coffee blend,100 g,450,75,12.5,0
robusta gold,100 g,450,70,10,10
coffee candy white coffee,100 g,333.33,66.67,0,0
less sugar,100 g,428.57,66.67,21.43,4.76
creamy blend,100 g,454.55,77.27,18.18,0
mighty celery,100 g,18,3.6,0,1.2
protein mix coffee,100 g,363.64,51.52,1.52,36.36
original blend,100 g,250,50,0,0
signature original black coffee botol,100 ml,50,9.5,1,0.5
french vanilla,100 ml,50,10,1.39,0.56
vanilla sweet cream cold brew grande,100 g,18.64,2.37,1.02,0.17
luwak white coffee,100 ml,130,23,2,4
caffe mocha tall,100 ml,64.97,9.04,1.69,2.82
ovalccino,100 g,440,84,8,4
flavacino black forest cappuccino,100 g,476.19,71.43,16.67,4.76
blend brew,100 g,400,80,10,0
pumpkin spice latte grande,100 ml,80.34,10.99,2.96,2.96
tora cafe iced milky latte,100 ml,50,7.78,1.94,0.56
teh manis,100 g,5500,1436,0,0
es teh,100 g,9000,2344,0,2
teh asli,100 g,0,0,0,0
teh hijau,100 g,250,0,0,0
teh,100 ml,20,5.14,0,0
es teh tawar,100 g,200,67,0,2
teh melati,100 g,0,0,0,0
teh botol kemasan kotak,100 ml,30,7.5,0,0
lu ve litee green tea ice cream,100 ml,100,20.91,1.82,0.91
taro milk tea,100 ml,79.8,14,2.4,0.4
teh pucuk harum less sugar,100 ml,18.75,5,0,0
ichi ocha teh hijau,100 g,32,8.4,0,0
garantea,100 ml,0,0.5,0,0
milk tea,100 ml,55,9.5,1.75,1
hazelnut milk tea,100 ml,48.8,7.2,2.1,0.2
nrg,100 ml,0,0,0,0
allure green tea latte,100 g,458.33,70.83,18.75,4.17
green tea jasmine,100 g,0,0,0,0
iced lemon tea,100 ml,159,39.6,0,0
teh kotak less sugar,100 ml,23.33,6.33,0,0
teh kotak,100 ml,35,8.5,0,0
teh javana gula batu,100 ml,34.29,8,0,0
honeyed chrysanthemum tea,100 g,6000,1800,0,0
nu green tea madu,100 ml,40,9.5,0,0
tesona,100 g,400,100,0,0
jasmine tea original,100 ml,60,15,0,0
teh sosro celup,100 g,0,0,0,0
lemon tea,100 g,428.57,100,0,0
ichi ocha teh melati,100 ml,30.3,7.58,0,0
frestea green,100 g,32,8,0,0
fruit tea ml,100 g,44,11.2,0,0
ichi ocha green tea honey,100 ml,36,8.8,0,0
teh pucuk harum,100 ml,29.17,7.5,0,0
jasmine tea,100 ml,35,8.5,0,0
teh oolong,100 ml,26.67,7.11,0,0
caya,100 ml,22.73,5.91,0,0
thai tea,100 ml,70,12,2,0
iced hibiscus tea lemonade,100 g,21.75,5.37,0,0
nu green tea less sugar,100 ml,20,5.2,0,0
teh bunga kekwa,100 g,44,10.8,0,0
teh rio,100 ml,36.84,8.95,0,0
teh botol botol,100 ml,20,7.71,0,0
green tea,100 ml,40,9.71,0,0
green tea honey lemon,100 ml,47.62,11.43,0,0
chocolate green tea spread,100 g,600,60,35,5
tematik instant teh tarik,100 g,416.67,83.33,6.25,4.17
liang cha,100 ml,20,4.86,0,0
tapioca tea latte ice bar,100 ml,171.88,23.44,7.81,1.56
teh gelas less sugar,100 ml,20,5,0,0
thai milk tea,100 ml,60,9.6,2,0.8
teh tarik,100 g,10000,1600,400,0
mango tea,100 ml,48,12,0,0
milk green tea,100 ml,67.74,8.06,1.94,1.29
fruit tea freeze,100 ml,34.29,8.29,0,0
tebs sparkling mix fruit,100 ml,39.39,10.3,0,0
my tea less sugar,100 ml,17.78,4,0,0
frestea lychee,100 g,32,8,0,0
slimming tea double strength,100 g,239,70,0,2
slimming tea,100 ml,213,70,0,3
iced tea peach,100 g,7000,1700,0,0
natsbee honey lemon,100 ml,40,9.6,0,0
tematik instant matcha latte,100 g,440,80,14,4
bakmi mewah goreng rasa bulgogi,100 g,400,48,18,12
honey citron tea,100 g,300,70,0,0
matcha red bean smoothie,100 ml,76.8,13.4,2.1,0.9
teh kotak melati,100 ml,35,8.5,0,0
milk tea caramel,100 g,434.78,78.26,13.04,4.35
pearl milk tea,100 ml,74.8,13.4,2.2,0.2
tebs,100 ml,40,10,0,0
yuzu tea,100 ml,40,9.71,0,0
pure matcha,100 g,375,75,0,25
rasa apel,100 ml,50,12,0,0
apple tea,100 g,9000,2300,0,0
teh hijau celup,100 g,500,100,0,0
rosella hibiscus tea,100 g,5,2,0,0
nasi tim,100,120,26,0.4,2.4
bihun goreng instan,100,381,80.3,3.9,6.1
bihun jagung mentah,100,354,87.4,0.3,0.5
jagung nasi mentah,100,357,79.5,0.5,8.8
jagung muda rebus,100,142,30.3,0.7,5
jagung kuning tepung,100,355,73.7,3.9,9.2
jagung kuning pipil rebus,100,154,28.4,3.5,3.8
jagung tepung putih,100,355,73.7,3.9,9.2
ketan putih tapai,100,172,37.5,0.5,3
maizena tepung,100,341,85,0,0.3
makaroni mentah,100,353,78.7,0.4,8.7
mi basah,100,88,14,3.3,0.6
mi kering,100,339,6.3,1.7,10
misoa,100,345,78,2.2,8.5
roti putih,100,248,50,1.2,8
amparan tatak,100,191,34,5.5,1.3
apang kukus kue,100,202,46.7,0.3,3
apem kue,100,148,33.9,0.5,2
biskuit,100,458,75.1,14.4,6.9
bakpia kue,100,272,44.1,6.7,8.7
bakwan,100,280,39,10.2,8.2
bantal,100,190,43.5,0.3,3.3
baruasa,100,417,79.3,8.2,6.5
batar daan,100,107,19.6,2.2,2.2
bika ambon,100,199,44.4,1.5,2.1
bobengka,100,225,45.2,2.6,5.3
bolu peca,100,197,35.6,4.6,3.3
brem,100,249,58,0.4,3.4
bubur tinotuan manado,100,156,15.6,0.2,2.3
cake tape,100,323,50.1,11.5,4.9
cangkuning,100,204,31.4,7.5,2.8
dodol bali,100,298,65.9,2.1,3.7
dodol galamai,100,348,76.1,3.8,0.4
dodol kedondong,100,331,63.8,7.6,1.9
dodol manado,100,373,51.9,16.5,4.3
emping beras,100,403,85.3,2.2,10.6
gemblong,100,274,55.5,5.4,1.7
gendar goreng,100,407,32,28.2,6.4
jagung gerontol,100,156,33.3,1.3,2.7
jagung titi,100,374,79.1,2.2,9.4
japilus,100,500,67.3,25.1,1.2
kakicak,100,296,36.7,15.1,3.4
kambose,100,164,32.6,2.4,3
kapusa,100,158,27.8,3.2,4.4
keddo bodong,100,290,55.2,5.7,4.6
kelepon kue,100,215,41.8,3.7,3.7
kereput,100,580,51.1,39.6,4.8
ketoprak,100,153,13,7.7,7.9
ketupat kandangan,100,109,13.4,5.2,2.2
koya,100,366,77.5,4.3,4.2
koya mirasa,100,370,82.2,1,8
koyabu,100,241,47.2,4.3,3.4
kue ali,100,440,64.5,18.5,3.8
kue bangen,100,442,74.2,14.7,3.3
kue gelang,100,448,70,16.1,5.8
kue jahe,100,425,84.6,8.8,1.6
kue kelapa,100,591,47.5,42.1,5.6
kue koa,100,340,79.3,0.4,4.8
kue ku temu,100,214,49.6,0.2,3.5
kue lumpur,100,291,44.1,11.1,3.6
kue pelita,100,141,17.6,5.5,5.3
kue putu cangkir,100,304,54.9,7,5.3
kue sus,100,221,24.8,10.2,7.5
kue thipan,100,247,49.5,4.2,2.9
laksaputu mayang,100,121,21.1,3.4,1.7
lupis ketan,100,164,34.5,2.1,1.8
manan samin,100,379,50.6,18.1,3.4
martabak india,100,153,24.3,4.2,4.5
martabak mesir,100,278,45,8.6,5.1
masekat,100,369,74.1,7,2.1
mie aceh rebus,100,113,18.1,3.2,3
mie ayam,100,102,10.5,3.9,6.2
mie bakso,100,114,16.4,3,5.3
mie celon,100,102,17.8,2.1,3
mie pangsit basah,100,105,9.4,4.9,5.9
nasi gemuk,100,192,24.4,8.8,3.8
nasi gurih,100,190,26,7.5,4.7
nasi minyak,100,207,37.1,5,3.5
nasi rames,100,155,19.1,4.2,10.3
nopia spesial,100,387,74.3,7.6,5.3
ondeonde,100,336,57.9,9.8,4
padamaran,100,171,18.8,8.9,3.9
pastel,100,307,42.4,13.3,4.5
pulut,100,216,44.4,3.1,2.6
pundut nasi,100,104,15.1,4.1,1.9
putri hijau,100,189,37.2,2.1,5.4
putri selat,100,163,23.8,6.5,2.2
putu sopa,100,215,41.1,4.1,3.3
renggi goreng,100,471,64.1,21.8,4.7
roti warna sawo matang,100,249,49.7,1.5,7.9
sarimuka,100,166,32.9,2.8,2.3
spaghetti,100,139,22.6,2.1,7.4
sunduk lawang,100,181,32.4,1.3,1.9
suwirsuwir,100,347,84.2,0.9,0.5
tipatipa,100,355,79.8,1.2,6.2
wajit camilan,100,303,63.3,2.7,6.3
widaran,100,424,80.7,10.7,1.3
wingko babat,100,355,51.4,15.1,3.2
arrowroot segar,100,102,24.1,0.2,1
batatas gembili segar,100,76,16,0.9,1.1
batatas kelapa ubi segar,100,89,21,0.1,1.1
belitung talas segar,100,145,34.2,0.4,1.2
bengkuang segar,100,59,12.8,0.2,1.4
bentul komba talas segar,100,98,20.9,0.7,1.6
gadenggadung kering,100,322,76.6,0.6,2.4
gadung ubi segar,100,100,23.5,0.3,0.9
ganyong segar,100,77,18.4,0.2,0.6
gembili ubi segar,100,131,31.3,0.2,1.1
hofaubi hutan segar,100,127,29.5,0.5,1.2
