Nama Makanan,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Lemak (g),Protein (g),Kategori,is_seafood,is_peanut,is_dairy,protein_to_calorie_ratio,is_low_calorie,is_low_fat,is_low_carb,is_high_carb,is_high_protein,Kalori (kkal)_scaled,Karbohidrat (g)_scaled,Lemak (g)_scaled,Protein (g)_scaled,protein_to_calorie_ratio_scaled
Sapo Tahu,100 g,76,1.63,4,8.3,Lauk,0,0,0,0.109210526,1,0,1,0,1,-1.16976389,-1.280223235,-0.265747556,0.039136374,1.19480146
Tofu Telur,100 g,71.43,4.29,2.14,10,Lauk,0,0,0,0.1399972,1,1,1,0,1,-1.230491183,-0.892711934,-0.671121381,0.230238998,1.473684829
Tahu Sutera,100 g,110,6,5,10,Lauk,0,0,0,0.090909091,0,0,1,0,1,-0.780720775,-0.715970099,-0.104660044,0.230238998,0.966768146
Morinu Silken Tofu Organic,100 g,52.94,1.18,2.35,4.71,Masakan,0,0,0,0.088968644,1,1,1,0,1,-1.506836708,-1.372563522,-0.6151942,-0.477804641,0.939156352
Sotong Tahu Bulat,100 g,346,50.72,14.02,4.55,Lauk,0,0,0,0.013150289,0,0,0,0,0,0.772221214,1.014004451,0.725486465,-0.506251759,-0.990837248
Silken Tofu,100 g,80,2.4,3.2,10.4,Masakan,0,0,0,0.13,1,0,1,0,1,-1.118585672,-1.14614299,-0.418621611,0.271813993,1.395051322
Silken Egg Tofu,100 g,130,4,7,12,Masakan,0,0,0,0.092307692,0,0,1,0,1,-0.588833079,-0.926721128,0.152091854,0.427518936,0.986228062
Maklor,100 g,225,25.07,10.07,8.2,Snack,0,0,0,0.036444444,0,0,0,0,0,0.120275246,0.315250141,0.445799737,0.027069681,-0.169137747
Tofu Rasa Udang,100 g,85.71,0,4.29,10,Lauk,1,0,0,0.1166725,1,0,1,0,1,-1.04841671,-1.710248162,-0.216067957,0.230238998,1.273022734
Tahu Kocek,100 g,203,10.11,14.04,13.19,Lauk,0,0,0,0.064975369,0,0,0,0,1,-0.022565273,-0.394057167,0.726714153,0.533881283,0.530381773
Mapo Tofu With Mushroom Szechuan Sauce,100 g,103.85,3.08,6.15,9.23,Masakan,0,0,0,0.08887819,0,0,1,0,1,-0.844409432,-1.045219164,0.051462766,0.146765514,0.937851567
