Nama Makanan,Kategori,Ukuran Porsi,Kalori (kkal),Karbohidrat (g),Protein (g),Lemak (g),Glycemic Risk
Nasi,Nasi,100,180,39.8,3,0.3,high
Nasi tim,Nasi,100,120,26,2.4,0.4,high
Bihun goreng instan,Lauk,100,381,80.3,6.1,3.9,
"Bihun Jagung, mentah",Lauk,100,354,87.4,0.5,0.3,high
"Jagung nasi, mentah",Lauk,100,357,79.5,8.8,0.5,low
"Jagung muda, rebus",Lauk,100,142,30.3,5,0.7,low
"Jagung kuning, tepung",Lauk,100,355,73.7,9.2,3.9,moderate
"Jagung kuning pipil, rebus",Lauk,100,154,28.4,3.8,3.5,moderate
"Jagung, tepung putih",Lauk,100,355,73.7,9.2,3.9,high
"Ketan putih, tapai",Lauk,100,172,37.5,3,0.5,high
"Maizena, tepung",Lauk,100,341,85,0.3,0,
"Makaroni, mentah",Lauk,100,353,78.7,8.7,0.4,low
Mi basah,Lauk,100,88,14,0.6,3.3,high
Mi kering,Lauk,100,339,6.3,10,1.7,high
Misoa,Lauk,100,345,78,8.5,2.2,
Roti putih,Lauk,100,248,50,8,1.2,high
Amparan tatak,Lauk,100,191,34,1.3,5.5,
"Apang kukus, kue",Lauk,100,202,46.7,3,0.3,
"Apem, kue",Snack,100,148,33.9,2,0.5,
Biskuit,Lauk,100,458,75.1,6.9,14.4,high
"Bakpia, kue",Snack,100,272,44.1,8.7,6.7,
Bakwan,Snack,100,280,39,8.2,10.2,
Bantal,Snack,100,190,43.5,3.3,0.3,
Baruasa,Snack,100,417,79.3,6.5,8.2,
Batar daan,Lauk,100,107,19.6,2.2,2.2,
Bika ambon,Snack,100,199,44.4,2.1,1.5,
Bingka,Snack,100,273,39.1,5.3,10.6,
Bobengka,Snack,100,225,45.2,5.3,2.6,
Bolu peca,Snack,100,197,35.6,3.3,4.6,
Brem,Snack,100,249,58,3.4,0.4,
Bubur tinotuan (Manado),Lauk,100,156,15.6,2.3,0.2,low
Cake tape,Lauk,100,323,50.1,4.9,11.5,
Cangkuning,Snack,100,204,31.4,2.8,7.5,
Dodol bali,Snack,100,298,65.9,3.7,2.1,
Dodol galamai,Snack,100,348,76.1,0.4,3.8,
Dodol kedondong,Snack,100,331,63.8,1.9,7.6,
Dodol manado,Snack,100,373,51.9,4.3,16.5,
Emping beras,Snack,100,403,85.3,10.6,2.2,
Gemblong,Snack,100,274,55.5,1.7,5.4,
Gendar goreng,Snack,100,407,32,6.4,28.2,
Intip goreng,Snack,100,474,62.3,7.6,21.6,
Jagung gerontol,Lauk,100,156,33.3,2.7,1.3,low
Jagung titi,Snack,100,374,79.1,9.4,2.2,low
Japilus,Snack,100,500,67.3,1.2,25.1,
Kakicak,Snack,100,296,36.7,3.4,15.1,
Kambose,Lauk,100,164,32.6,3,2.4,
Kapusa,Lauk,100,158,27.8,4.4,3.2,
Keddo bodong,Snack,100,290,55.2,4.6,5.7,
"Kelepon, kue",Snack,100,215,41.8,3.7,3.7,
Kereput,Snack,100,580,51.1,4.8,39.6,
Ketoprak,Lauk,100,153,13,7.9,7.7,
Ketupat kandangan,Lauk,100,109,13.4,2.2,5.2,
Koya,,100,366,77.5,4.2,4.3,
Koya mirasa,,100,370,82.2,8,1,
Koyabu,Snack,100,241,47.2,3.4,4.3,
Kue ali,Snack,100,440,64.5,3.8,18.5,
Kue bangen,Snack,100,442,74.2,3.3,14.7,
Kue gelang,Snack,100,448,70,5.8,16.1,
Kue jahe,Snack,100,425,84.6,1.6,8.8,
Kue kelapa,Snack,100,591,47.5,5.6,42.1,
Kue koa,Snack,100,340,79.3,4.8,0.4,
Kue ku temu,Snack,100,214,49.6,3.5,0.2,
Kue lumpur,Snack,100,291,44.1,3.6,11.1,
Kue pelita,Snack,100,141,17.6,5.3,5.5,
Kue putu cangkir,Snack,100,304,54.9,5.3,7,
Kue sus,Snack,100,221,24.8,7.5,10.2,
Kue thipan,Snack,100,247,49.5,2.9,4.2,
Laksa/Putu mayang,Snack,100,121,21.1,1.7,3.4,
Lapis legit,Snack,100,389,55.5,6.6,15.7,
Lupis ketan,Snack,100,164,34.5,1.8,2.1,high
Manan samin,Snack,100,379,50.6,3.4,18.1,
Martabak india,Lauk,100,153,24.3,4.5,4.2,
Martabak mesir,Lauk,100,278,45,5.1,8.6,
Masekat,Snack,100,369,74.1,2.1,7,
Mie aceh rebus,Lauk,100,113,18.1,3,3.2,
Mie ayam,Lauk,100,102,10.5,6.2,3.9,
Mie bakso,Lauk,100,114,16.4,5.3,3,
Mie celon,Lauk,100,102,17.8,3,2.1,
Mie pangsit basah,Lauk,100,105,9.4,5.9,4.9,
Nasi gemuk,Lauk,100,192,24.4,3.8,8.8,high
onde onde,Snack,100,,,,,
Nasi gurih,Lauk,100,190,26,4.7,7.5,high
Nasi minyak,Lauk,100,207,37.1,3.5,5,high
Nasi rames,Lauk,100,155,19.1,10.3,4.2,high
Nopia spesial,Snack,100,387,74.3,5.3,7.6,
Onde-onde,Snack,100,336,57.9,4,9.8,
Padamaran,Snack,100,171,18.8,3.9,8.9,
Pastel,Snack,100,307,42.4,4.5,13.3,
Pulut,Snack / Lauk,100,216,44.4,2.6,3.1,
Pundut nasi,Lauk,100,104,15.1,1.9,4.1,high
Putri hijau,Snack,100,189,37.2,5.4,2.1,
Putri selat,Snack,100,163,23.8,2.2,6.5,
Putu sopa,Snack,100,215,41.1,3.3,4.1,
Renggi goreng,Snack,100,471,64.1,4.7,21.8,
Roti warna sawo matang,Snack,100,249,49.7,7.9,1.5,
Sarimuka,Snack,100,166,32.9,2.3,2.8,
Spaghetti,Lauk,100,139,22.6,7.4,2.1,
Srikaya ketan,Snack,100,265,49.1,2.7,6.4,high
Sunduk lawang,Snack,100,181,32.4,1.9,1.3,
Suwir-suwir,Snack,100,347,84.2,0.5,0.9,
Tipa-tipa,Snack,100,355,79.8,6.2,1.2,
Wajit camilan,Snack,100,303,63.3,6.3,2.7,
Widaran,Snack,100,424,80.7,1.3,10.7,
Wingko babat,Sanck,100,355,51.4,3.2,15.1,
Yangko,Snack,100,254,58.1,3,1.1,
"Arrowroot, segar",Lauk,100,102,24.1,1,0.2,
"Batatas gembili, segar",Lauk,100,76,16,1.1,0.9,
"Batatas kelapa, ubi, segar",Lauk,100,89,21,1.1,0.1,
"Belitung, talas, segar",Lauk,100,145,34.2,1.2,0.4,
"Bengkuang, segar",Lauk,100,59,12.8,1.4,0.2,
"Bentul (Komba), talas, segar",Lauk,100,98,20.9,1.6,0.7,
"Gadeng/Gadung, kering",Lauk,100,322,76.6,2.4,0.6,
"Gadung, ubi, segar",Lauk,100,100,23.5,0.9,0.3,
"Ganyong, segar",Lauk,100,77,18.4,0.6,0.2,
"Gembili, ubi, segar",Lauk,100,131,31.3,1.1,0.2,
"Hofa/Ubi hutan, segar",Lauk,100,127,29.5,1.2,0.5,
"Kaburan, ubi, segar",Lauk,100,133,32.2,1,0.2,
"Kentang, segar",Lauk,100,62,13.5,2.1,0.2,
"Kentang hitam, segar",Lauk,100,142,33.7,0.9,0.4,
"Keribang, ubi, segar",Lauk,100,137,29.8,1.3,1.1,
"Ketela pohon/ singkong, segar",Lauk,100,154,36.8,1,0.3,low
Lepok/Ubi rumput,Lauk,100,181,39.8,2.8,1.2,
"Sagu aren, kering",Lauk,100,355,85.6,0.6,1.1,
"Sagu aren, segar",Lauk,100,231,56.6,0.6,0.2,
Sagu kasbi segar,Lauk,100,230,56.5,0.6,0.2,
Sagu lempeng,Lauk,100,347,85.2,0.9,0.3,
"Sagu singkong, kering",Lauk,100,362,86.9,0.5,0.3,low
"Sente, talas, segar",Lauk,100,353,84.7,0.7,0.2,
"Suweg, talas, segar",Lauk,100,74,17.2,1.4,0.1,
"Talas bogor, segar",Lauk,100,108,25,1.4,0.4,
"Talas pontianak, segar",Lauk,100,163,36.4,2.3,0.5,
"Talas viqueque, segar",Lauk,100,115,25.9,1.8,0.5,
"Ubi jalar, kuning, segar",Lauk,100,119,25.1,0.5,0.4,moderate
"Ubi jalar manis, segar",Lauk,100,83,18.8,1.5,0.2,moderate
"Ubi jalar merah, segar",Lauk,100,151,35.4,1.6,0.3,moderate
"Ubi jalar putih, segar",Lauk,100,88,20.6,0.4,0.4,moderate
Ubi jalar tinta/ kemayung,Lauk,100,108,25.6,0.5,0.4,moderate
"Umbi Uwi, segar",Lauk,100,120,82.3,2.8,0.5,
"Batatas kelapa, ubi, bakar",Lauk,100,110,23.4,1.4,1.1,
"Batatas kelapa, ubi, kukus",Lauk,100,92,21,1.2,0.3,
"Batatas tali, ubi, rebus",Lauk,100,182,42.2,2.4,0.4,
"Belitung, talas, kukus",Lauk,100,145,34.2,1.2,0.4,
"Bentul, talas, kukus",Lauk,100,71,15.4,2.3,0.3,
"Gadung, ubi, kukus",Lauk,100,88,20.9,0.6,0.3,
"Ganyong, rebus",Lauk,100,100,23.8,0.8,0.2,
Ketela pohon/ singkong kukus,Lauk,100,153,36.4,1.2,0.3,low
"Suweg, talas, kukus",Lauk,100,93,21.9,1.5,0.1,
"Talas bogor, kukus",Lauk,100,120,28.2,1.5,0.3,
"Ubi jalar, kuning, kukus",Lauk,100,100,23.8,0.7,0.3,moderate
Ubi jalar tinta/ kemayung kukus,Lauk,100,165,39.8,0.9,0.2,moderate
Bagea kelapa asin,Snack,100,450,78.1,3.2,13.9,
Bagea kelapa manis,Snack,100,452,80.6,1.3,13.8,
Bagea kenari asin,Snack,100,529,63.6,3.2,29.1,low
Bagea kenari manis,Snack,100,523,64.2,3.2,28.2,low
Bagea kw 1,Snack,100,416,76.3,6.5,9.4,
Bagea kw 2,Snack,100,382,87.2,0.3,3.5,
Beras Cerdas,Nasi,100,350,82.3,2.7,1.1,
Beras ganyong,Nasi,100,364,86.3,3.4,0.7,
Beras Siger,Nasi,100,344,28.3,1.1,0.2,
Biji nangka/Biji salak,Lauk,100,262,51.1,2.3,5.4,
Bubur sagu,Lauk,100,167,33,0.2,4,low
Cassavastick,Snack,100,460,17.2,0.8,18.7,
Ceriping getuk singkong,Snack,100,462,67.7,1.2,20.7,
Gatot,Snack,100,347,83.8,1.3,0.7,
Geblek,Snack,100,195,44.4,0.4,1.7,
Getuk goreng,Snack,100,360,74.3,1.3,6.4,
Getuk singkong,Snack,100,204,47.4,0.5,1.4,low
Gurandil,Snack,100,218,48.5,0.5,2.5,
Kabuto,Snack,100,250,35.4,2.6,2.5,
Kapurung,Nasi,100,41,7.8,2,0.3,
Kecimpring singkong goreng,Snack,100,464,73,1.2,18.6,
Keremes,,100,475,64.4,1.6,25.2,
Keripik gadung,Snack,100,446,76,2.8,14.5,high
Keripik kentang,Snack,100,448,67.1,2.7,18.8,high
Keripik singkong,Snack,100,478,72,0.9,20.7,high
Keripik singkong berbumbu,Snack,100,481,73.6,2.2,19.7,high
Keripik ubi,Snack,100,486,67.6,0.2,23.9,high
Kerupuk cumi goreng,Snack,100,444,71.3,6.9,14.6,high
Kerupuk kemplang (ikan) mentah,Snack,100,325,78.5,1.8,0.4,high
Kerupuk kemplang goreng,Snack,100,504,57.1,5.6,28.1,high
Kerupuk kemplang panggang,Snack,100,356,76.9,9.7,1.1,high
Kerupuk mie kuning goreng,Snack,100,476,71.3,0.1,21.1,high
Kerupuk udang goreng,Snack,100,477,68.5,4.7,20.5,high
Kue bangket,Snack,100,338,80.3,1.5,1.2,
Kue putu singkong,Snack,100,217,53.2,1.2,0.5,low
Lanting getuk,Snack,100,422,80.4,0.9,10.8,
Mi golosor,Lauk,100,71,15.9,0.2,0.8,
Mie Bendo,Lauk,100,353,88,0.3,0,
Mie Sagu,Lauk,100,190,46.5,0.2,0.4,
Ongol-ongol sagu,Snack,100,111,21.2,0.3,2.7,
Oyek,Snack,100,351,84.9,0.9,0.9,
Papeda,Lauk,100,61,14.9,0.2,0.1,
Rasbi (Beras Ubi),Nasi,100,394,76.6,2.2,8.8,
Rasi (Beras Singkong),Nasi,100,350,85.7,0.9,0.4,low
Sagu forno,Snack,100,291,63.4,0.5,4,
Sagu Lemak (Kue Sagon),Snack,100,452,76.8,2.8,14.8,
Sagu manis,Snack,100,287,62.4,0.5,3.9,
Sagu Rendang,Snack,100,364,90.5,0.1,0.2,
Sagu sinole,Snack,100,354,68.9,0.8,8.3,
Serimping talas kebumen,Snack,100,478,69.2,2.5,21.2,
Tapai singkong,Snack,100,169,40.2,1.4,0.3,low
Tiwul,Masakan,100,353,83.4,2.4,1.1,
Tiwul Instan,Masakan,100,395,76.5,3.2,8.5,
Ubi Cilembu,Lauk,100,186,44.3,1.9,0.2,
Uli batatas,Snack,100,150,27.4,1.1,4,
"Batagor, batagor",Lauk,100,165.7,16.7,5.9,8.5,high
"Kenari banda, kering",Snack,100,616,13.7,13.9,56.2,
"Kenari, kering",Snack,100,657,13,15,66,
"Komak polong, segar",Lauk,100,99,21.2,3.3,0.1,
"Koro andong, kering",Lauk,100,356,61.6,20.5,4.1,
"Koro benguk, biji, kering",Lauk,100,332,55,24,3,
"Koro kerupuk, biji, segar",Lauk,100,125,22.1,8.3,0.7,
"Koro loke, biji, segar",Lauk,100,33,7.9,2.7,0.2,
"Koro roay, kering",Lauk,100,344,69.4,12.5,2.1,
"Koro wedus, biji, kering",Lauk,100,338,61,22.2,1.5,
"Lamtoro biji, muda, segar",Lauk,100,85,15.4,5.7,0.3,
"Lamtoro biji, tua, segar",Lauk,100,148,26.2,10.6,0.5,
"Lamtoro var, gung tanpa kulit",Lauk,100,367,32.5,46.4,5.4,
"Lamtoro var, lokal dengan kulit",Lauk,100,336,59.7,23.8,1.2,
"Nangka, biji, segar",Snack,100,165,36.7,4.2,0.1,low
"Saga merah terkupas, mentah",Lauk,100,449,31.9,30.6,25.5,
"Kacang belimbing, rebus",Snack,100,204,17.5,16.9,8.8,low
"Kacang bogor, goreng",Snack,100,479,58.9,12.7,23.2,
"Kacang bogor, rebus",Snack,100,161,27.1,7.7,2.8,
"Kacang gude, rebus",Snack,100,147,27.5,9,0.5,
"kacang hijau, rebus",Snack,100,109,18.3,8.7,0.5,
"Kacang kedelai, goreng",Snack,100,521,22.9,32.2,37.7,
"Kacang kedelai, rebus",Snack,100,189,12.7,20.2,8.2,
"Kacang merah kering, rebus",Snack,100,158,28.2,10.3,0.9,
"Kacang merah segar, rebus",Snack,100,144,24.7,10,1,
"Kacang mete/biji jambu monyet, goreng",Snack,100,629,19.8,20.4,56.3,
